DCACCESS,DUNALIGNED,ETMEXTOUT1,L2MISS,DCALIAS,ETMEXTOUT01,REPLAY,AXIWRITE,IIDLE,BPEXECTAKEN,NEONWAITS,ICACCESS,ERETURN,L2STORE,ECALL,DTLBMISS,BPREDTAKEN,WBFULL,BPREDICTABLE,RSTKMISS,PCINST,AXIREAD,L2ACCESSNEON,NEONWORK,L2MERGE,BPMIS,DCACCESSNEON,CONTEXT,DREAD,ETMEXTOUT0,ICMISS,ICHASHMISS,UNALIGNEDREPLAY,SOFT,BINST,DWRITE,DCHASHMISS,L2HITNEON,RETURN,DCHITNEON,CLOCKCYCLES,ITLBMISS,BPCONDMIS,NEONSTALL,OPERATION,IISSUE,L2ACCESS,DCMISS,INST,usage,flags,wakeeFlips,wakeeFlipDecayTs,prio,rtPriority,se_load_weight,se_sumExecRuntime,se_vruntime,se_prevSumExecRuntime,se_statistics_waitStart,se_statistics_waitMax,se_statistics_waitCount,se_statistics_waitSum,se_statistics_iowaitCount,se_statistics_iowaitSum,se_statistics_sleepStart,se_statistics_sleepMax,se_statistics_sumSleepRuntime,se_statistics_blockStart,se_statistics_blockMax,se_statistics_execMax,se_statistics_sliceMax,se_statistics_nrMigrationsCold,se_statistics_nrFailedMigrationsAffine,se_statistics_nrFailedMigrationsRunning,se_statistics_nrFailedMigrationsHot,se_statistics_nrForcedMigrations,se_statistics_wakeups,se_statistics_wakeupsSync,se_statistics_wakeupsMigrate,se_statistics_wakeupsLocal,se_statistics_wakeupsRemote,se_statistics_wakeupsAffine,se_statistics_wakeupsAffineAttempts,se_statistics_wakeupsPassive,se_statistics_wakeupsIdle,rt_timeslice,dl_dlBw,dl_dlDensity,schedInfo_pcount,schedInfo_runDelay,utime,stime,nvcsw,nivcsw,minFlt,majFlt,ioac_rchar,ioac_wchar,ioac_syscr,ioac_syscw,acctRssMem1,acctVmMem1
7.415322745454545319e+07,1.976827272727272793e+04,2.037236363636363967e+04,2.604170090909090824e+06,1.333818181818181756e+03,0.000000000000000000e+00,3.300147363636363763e+06,1.690686636363636237e+06,9.079194681818179786e+07,1.649087809090909176e+07,1.503992727272727643e+05,9.657770145454543829e+07,2.039881818181818016e+04,2.479350272727272939e+06,1.306354545454545405e+04,9.590870000000000000e+05,1.254708781818181835e+07,3.668818181818181984e+03,2.949745218181818351e+07,1.629845454545454595e+04,1.647965754545454495e+07,5.663022000000000000e+06,2.912600000000000000e+04,8.871218181818181183e+05,1.061708454545454588e+06,4.851235454545454122e+06,1.585380000000000000e+05,3.449090909090909349e+02,3.735894554545454681e+07,0.000000000000000000e+00,4.112747363636363763e+06,1.542698181818181765e+05,4.249000000000000000e+03,0.000000000000000000e+00,2.422785027272727340e+07,1.787929818181818351e+07,9.845828181818181183e+05,1.849072727272727207e+04,4.526910818181818351e+06,5.098918181818181620e+04,0.000000000000000000e+00,1.022513636363636324e+05,7.103590909090909408e+05,2.446009090909090883e+05,9.527428627272728086e+07,9.802620354545456171e+07,9.660762909090908244e+06,1.402551909090909176e+06,9.379004327272728086e+07,2.325717383727684329e+00,5.607928030813615769e+07,8.960974712465633374e+00,1.604827870503039958e+04,9.153175463733880690e+01,1.744278356503891914e+01,1.667808695736359005e+04,6.847117512468825579e+08,1.496570672240801600e+17,3.302405841069588661e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.000087576966270717e+03,4.653963752572513580e+09,1.790383766409789622e+08,2.634880920109979212e+08,8.730707305502846793e+03,1.185548900205243626e+03,3.402045560159548359e+02,2.190489098865352702e+00,8.296237821902954602e+04,6.164794880532857496e+04,1.909310595205824370e+02,6.135501297293110667e+01,9.764042232546179295e+08,3.355744700146536350e+09
8.540422800000000000e+07,1.301354545454545405e+04,2.033218181818181984e+04,2.771450636363635771e+06,1.104636363636363740e+03,0.000000000000000000e+00,3.546782363636363763e+06,1.858107090909090824e+06,9.177647300000000000e+07,1.871552227272727340e+07,1.525624545454545587e+05,1.014205640000000000e+08,1.994490909090908826e+04,2.616748454545454588e+06,1.246681818181818198e+04,1.038373727272727177e+06,1.445368054545454495e+07,7.947636363636363967e+03,3.246812427272727340e+07,1.538263636363636397e+04,1.771144345454545319e+07,6.341593727272727527e+06,3.192818181818181620e+04,6.055243636363636469e+05,1.024714272727272823e+06,4.816724909090909176e+06,1.609566363636363531e+05,3.756363636363636260e+02,4.282934518181817979e+07,0.000000000000000000e+00,4.047589909090908710e+06,1.363118181818181765e+05,2.764909090909090992e+03,0.000000000000000000e+00,2.758392000000000000e+07,2.002471690909091011e+07,9.734268181818181183e+05,1.850463636363636397e+04,4.513952181818181649e+06,1.222701818181818235e+05,0.000000000000000000e+00,1.091206363636363676e+05,7.040008181818181183e+05,2.432913636363636469e+05,1.043918035454545617e+08,1.072321351818182021e+08,9.733864090909091756e+06,1.519708272727272706e+06,9.490916163636364043e+07,2.323669596396868986e+00,5.634019995249027014e+07,9.083377060649789669e+00,0.000000000000000000e+00,9.195899470899469463e+01,1.718100922646376816e+01,1.644315666404303192e+04,2.548207274005859196e+08,1.474110188224134720e+17,2.259246726174406707e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.087361821680003686e+02,3.395957349534829140e+09,1.373128252219161391e+08,1.122562420744238943e+08,7.239735012462284658e+02,2.225272967772968400e+02,3.409531680440771879e+02,2.309731514276969211e+00,6.417041437098255119e+04,5.883821625344352651e+04,9.806637806637807842e+01,3.271853819581092893e+01,8.588649542991057634e+08,2.980706265086296082e+09
1.016831449166666865e+08,9.397583333333333940e+03,3.502750000000000000e+04,4.209631833333333023e+06,1.634083333333333030e+03,0.000000000000000000e+00,4.282859750000000000e+06,2.995467250000000000e+06,1.075184537500000000e+08,2.123840475000000000e+07,1.614755833333333721e+05,1.304364865833333135e+08,3.549308333333333576e+04,4.221520416666666977e+06,1.870425000000000000e+04,1.208847333333333023e+06,1.643981608333333582e+07,8.147000000000000000e+03,3.763226241666665673e+07,2.823008333333332848e+04,2.120667091666666791e+07,7.645257333333332092e+06,2.693116666666667152e+04,8.391840833333334886e+05,1.679572500000000000e+06,5.672184583333332092e+06,1.547073333333333721e+05,5.335833333333333712e+02,4.868064733333334327e+07,0.000000000000000000e+00,5.353933666666666977e+06,2.083369166666666279e+05,1.877000000000000000e+03,0.000000000000000000e+00,2.976743166666667163e+07,2.399697025000000000e+07,1.557103666666666977e+06,1.684050000000000000e+04,6.594527333333332092e+06,1.176716666666666861e+05,0.000000000000000000e+00,1.742245833333333721e+05,5.080763333333332557e+05,2.166201666666666279e+05,1.283773789166666865e+08,1.352589284166666567e+08,1.347034208333333582e+07,1.719974750000000000e+06,1.329676641666666865e+08,2.321729390681003480e+00,5.658364586173834652e+07,8.015008960573478447e+00,1.801960219086020661e+05,9.154439964157705845e+01,1.743503584229391024e+01,1.667113373655913892e+04,4.295934469021460533e+09,1.495913720445642240e+17,1.914619259767876625e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.613889789426522475e+04,5.896211243416488647e+09,6.295781362007168531e+08,8.528723542939066887e+08,4.496447867383512494e+04,5.259597267025089423e+03,7.944860663082437213e+02,2.189516129032258007e+00,1.708474845430107380e+05,8.808791043906810228e+04,1.203901120071684772e+03,3.418761200716846247e+02,1.919871741140860558e+09,6.847509591563799858e+09
8.549065308333332837e+07,3.226725000000000000e+04,2.116591666666666788e+04,3.180192583333333023e+06,1.926000000000000000e+03,0.000000000000000000e+00,3.142301666666666046e+06,2.106218083333333023e+06,1.073096803333333135e+08,1.963358033333332837e+07,8.104041666666668607e+04,1.193466623333333135e+08,2.111816666666666788e+04,3.322183416666666046e+06,1.420875000000000000e+04,7.523027500000000000e+05,1.450457558333333582e+07,6.496083333333332121e+03,3.395355483333333582e+07,1.580750000000000000e+04,1.970094208333332837e+07,6.565197250000000000e+06,3.381591666666666424e+04,1.089316083333333023e+06,1.512435333333333023e+06,6.201378333333332092e+06,2.186106666666666279e+05,3.754166666666667425e+02,4.154609616666665673e+07,0.000000000000000000e+00,5.433009000000000000e+06,1.545410833333333721e+05,6.699750000000000000e+03,0.000000000000000000e+00,2.752050841666667163e+07,2.059064225000000000e+07,1.190408500000000000e+06,2.161125000000000000e+04,5.430758166666666977e+06,1.701838333333333721e+05,0.000000000000000000e+00,8.403916666666668607e+04,8.187756666666665114e+05,2.681684166666667443e+05,1.007754138333333135e+08,1.219217225833333135e+08,1.080329566666666605e+07,1.335653666666666977e+06,1.127748780833333135e+08,2.327114375779160582e+00,5.627058501730056852e+07,8.138097148117049429e+00,3.142501146306936062e+04,9.142675553043142145e+01,1.750711758608505164e+01,1.673582374897244517e+04,5.993142815641471148e+08,1.502090764842421440e+17,3.749595972406161427e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.059372746174262829e+03,4.432747702599813461e+09,1.979180868780766726e+08,2.003705163156266809e+08,5.771981755985898417e+03,1.096093036152305103e+03,2.631119579486659177e+02,2.198568254996728033e+00,7.850768486807258159e+04,6.332241081685756217e+04,2.370115616926025268e+02,7.488130692875104444e+01,9.070017320261362791e+08,3.471654697215138912e+09
8.830685563636364043e+07,1.628227272727272793e+04,2.478663636363636397e+04,3.215000090909091290e+06,8.680000000000000000e+02,0.000000000000000000e+00,3.395319909090908710e+06,2.061312909090908710e+06,1.061341870909090936e+08,1.923229418181818351e+07,4.166900000000000000e+05,1.162913973636363596e+08,2.436754545454545587e+04,3.006208636363636237e+06,1.563500000000000000e+04,9.724250909090908244e+05,1.415913590909090824e+07,8.775090909090909918e+03,3.300155127272727340e+07,2.196018181818181984e+04,1.922398509090908989e+07,6.991493636363637634e+06,4.423572727272726479e+04,1.334139181818182115e+06,1.255595636363636469e+06,5.744934545454545878e+06,2.172607272727272648e+05,7.212727272727272521e+02,4.154888600000000000e+07,0.000000000000000000e+00,5.343350818181818351e+06,1.629440909090909117e+05,3.264000000000000000e+03,0.000000000000000000e+00,2.624873181818181649e+07,2.108983927272727340e+07,1.431810363636363763e+06,2.906609090909090810e+04,5.864848545454545878e+06,1.530306363636363531e+05,0.000000000000000000e+00,1.498440909090909117e+05,5.466096363636363531e+05,2.903730000000000000e+05,1.128565837272727191e+08,1.237319884545454383e+08,1.131229527272727340e+07,1.352451363636363531e+06,1.124023926363636404e+08,2.324537321264594336e+00,5.647821736468073726e+07,9.000029647120557641e+00,0.000000000000000000e+00,9.172448353666536036e+01,1.722651187196641942e+01,1.718697106598452228e+04,2.610058111624590456e+08,1.478014260808323520e+17,2.292310879048243463e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.305335394639026845e+02,3.256228452353568077e+09,1.397571969041059911e+08,1.195653130438584834e+08,7.295568086929905576e+02,2.225076235952600143e+02,3.824850881105426197e+02,2.315932572478027751e+00,6.378642508644889313e+04,5.931752757357119845e+04,9.826952625825352072e+01,3.362854353054353140e+01,8.793464979865626097e+08,2.985003041980085373e+09
1.086999000000000000e+07,5.119000000000000000e+03,1.358818181818181756e+03,2.458112727272727352e+05,5.636363636363636687e+01,0.000000000000000000e+00,6.117923636363636469e+05,1.736606363636363531e+05,2.979805863636364043e+07,2.171822909090909176e+06,2.049954545454545587e+04,1.374284390909090824e+07,1.462909090909090992e+03,2.851437272727272939e+05,9.410909090909092356e+02,2.847880909090908826e+05,1.765300454545454588e+06,6.718181818181818699e+02,3.993300545454545412e+06,2.907909090909090992e+03,2.462338545454545412e+06,5.907471818181817653e+05,2.260609090909090810e+04,6.176007272727272939e+05,1.291529090909090883e+05,6.108330000000000000e+05,1.256149090909090883e+05,1.836363636363636331e+01,5.394328545454545878e+06,0.000000000000000000e+00,4.390747272727272939e+05,2.190663636363636397e+04,1.190000000000000000e+03,0.000000000000000000e+00,3.749838636363636237e+06,2.537039090909090824e+06,7.172409090909091174e+04,1.584472727272727207e+04,5.063991818181818235e+05,1.046468181818181765e+05,0.000000000000000000e+00,4.366636363636363967e+04,1.531368181818181765e+05,1.340603636363636469e+05,1.358312263636363484e+07,1.358389518181818165e+07,1.654729000000000000e+06,2.070824545454545296e+05,1.282458309090909176e+07,2.325935098448828064e+00,5.503472909795729816e+07,9.219328676352430918e+00,1.170617537030560488e+05,9.210472535470884736e+01,1.709171857719465848e+01,1.636302245937745101e+04,2.043188269420810938e+09,1.466451937353883840e+17,5.869049503269464970e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.764355635167452783e+04,4.368042956391979218e+09,2.912003100452779531e+08,6.637825403159058094e+08,2.713520890245861665e+04,3.813264464841055087e+03,2.590203419950657917e+02,2.153151024189203788e+00,1.030001374691609235e+05,6.676594788781655370e+04,4.788318666049095782e+02,1.101904320783431643e+02,1.176329838682051897e+09,4.005310079811211586e+09
8.390324400000000000e+07,2.278463636363636397e+04,2.595836363636363603e+04,2.966387636363636237e+06,1.188909090909090992e+03,0.000000000000000000e+00,3.660474545454545412e+06,2.034526272727272706e+06,1.100170001818182021e+08,1.839785181818181649e+07,2.336058181818181765e+05,1.269127880000000000e+08,2.645209090909090810e+04,2.751802181818181649e+06,1.715009090909090810e+04,1.024712363636363647e+06,1.339213554545454495e+07,1.390463636363636397e+04,3.254047118181818351e+07,2.527636363636363603e+04,1.754970009090908989e+07,7.106547727272727527e+06,9.383863636363636761e+04,2.531402909090909176e+06,1.198759818181817885e+06,6.054141272727272473e+06,3.663168181818181765e+05,8.639090909090908781e+02,4.164700690909090638e+07,0.000000000000000000e+00,5.398820454545454122e+06,2.587627272727272939e+05,6.564818181818181984e+03,0.000000000000000000e+00,2.540796136363636330e+07,1.966162027272727340e+07,1.284128727272727294e+06,6.137672727272727207e+04,5.317283181818181649e+06,2.325611818181818235e+05,0.000000000000000000e+00,1.650394545454545587e+05,6.265847272727272939e+05,7.359769090909090592e+05,1.123679931818182021e+08,1.303637487272727191e+08,1.194507572727272660e+07,1.601318909090909176e+06,1.170914917272727191e+08,2.327913279132792113e+00,5.587457583462060243e+07,8.842682926829269263e+00,3.922549875677506789e+05,9.151595528455284523e+01,1.755250677506774792e+01,1.606027737127371074e+04,8.068014464355556488e+09,1.505994738811350720e+17,2.045287948644851208e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.860864114498645067e+05,5.686047108523577690e+09,9.316389507642275095e+08,5.421377652336043358e+09,1.839651542682926520e+05,9.245442015582656313e+04,5.194707994579945307e+02,2.204268292682926678e+00,2.301434627371273818e+05,9.568948993902439543e+04,2.179276693766938024e+03,5.898843157181572678e+02,2.436355837868969917e+09,8.455542453959111214e+09
9.633918609090909362e+07,3.589936363636363967e+04,2.433027272727272793e+04,3.122706818181818351e+06,1.561363636363636488e+03,0.000000000000000000e+00,4.352761636363636702e+06,2.024794636363636237e+06,1.040229034545454383e+08,2.157224454545454681e+07,1.502520000000000000e+05,1.232917359090909213e+08,2.432263636363636397e+04,3.064812000000000000e+06,1.613563636363636397e+04,1.346704818181817885e+06,1.682758663636363670e+07,4.401272727272727025e+03,3.882052027272727340e+07,1.952209090909090810e+04,2.146963872727272660e+07,6.893665818181817420e+06,2.811272727272727207e+04,5.168499090909090592e+05,1.299642818181817885e+06,5.852955818181817420e+06,1.559500000000000000e+05,3.266363636363636260e+02,4.941545681818182021e+07,0.000000000000000000e+00,4.925366272727272473e+06,1.449172727272727643e+05,8.582818181818181984e+03,0.000000000000000000e+00,3.232054027272727340e+07,2.313808836363636330e+07,1.170028727272727294e+06,1.667927272727272793e+04,5.729635636363637634e+06,4.851354545454545587e+04,0.000000000000000000e+00,1.058390000000000000e+05,9.209598181818181183e+05,2.150035454545454704e+05,1.144826924545454383e+08,1.239168038181817979e+08,1.207445081818181835e+07,1.824594000000000000e+06,1.166413990000000000e+08,2.329824402879431489e+00,5.600040932019624114e+07,8.709400190708331380e+00,2.137227766326829442e+04,9.142675553043143566e+01,1.750711758608505164e+01,1.673582374897244517e+04,4.622610336739367247e+08,1.502090170989983040e+17,2.809114252679451108e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.605619624482366817e+03,3.424925237799864769e+09,1.590540598615528047e+08,1.674057099367415309e+08,4.377338102878181417e+03,9.686733508247253894e+02,3.386976028675303496e+02,2.198568254996726701e+00,6.951599150086207374e+04,6.064369786274068611e+04,1.411890894962758409e+02,4.629714448066140164e+01,9.241797447887133360e+08,3.166734927045984268e+09
9.918411636363635957e+07,4.552463636363636761e+04,8.781727272727272066e+03,2.708312090909090824e+06,1.856363636363636260e+02,0.000000000000000000e+00,6.362899636363637634e+06,1.915621181818181649e+06,1.102245791818182021e+08,2.571895254545455053e+07,9.193963636363636761e+04,1.460113876363636255e+08,8.954909090909090082e+03,3.003003818181818351e+06,5.682727272727272975e+03,3.516795090909091290e+06,1.871177354545454681e+07,3.588009090909091174e+04,4.863604645454545319e+07,3.006036363636363603e+04,2.588908072727273032e+07,5.923616272727272473e+06,1.376308181818181765e+05,3.565650181818181649e+06,1.332635636363636469e+06,9.794137454545456916e+06,6.561504545454545878e+05,8.254545454545454675e+01,5.681667181818182021e+07,0.000000000000000000e+00,5.419984090909090824e+06,2.406266363636363531e+05,1.178618181818181802e+04,0.000000000000000000e+00,4.288031900000000000e+07,2.560507600000000000e+07,4.883999090909090592e+05,1.102716363636363676e+05,4.200018727272728458e+06,3.743976363636364113e+05,0.000000000000000000e+00,1.064365454545454588e+06,1.906220090909090824e+06,1.563363454545454588e+06,1.127777211818182021e+08,1.113674430909090787e+08,1.874231536363636330e+07,1.989925454545454355e+06,1.448469131818181872e+08,2.330272431553266355e+00,5.613063393857865781e+07,8.931677509713564334e+00,1.171142616223908844e+05,9.150344492635763061e+01,1.746012921297551301e+01,1.669365386961235708e+04,1.773377922678278208e+09,1.498061493029822400e+17,5.831164709830125570e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.459444300623475647e+04,4.766920726626185417e+09,2.950651034607391357e+08,5.358616156139874458e+08,2.410575310608114160e+04,3.845339025932953518e+03,2.706386102828228104e+02,2.192667389536460121e+00,1.135088798906659504e+05,6.762851737146470987e+04,4.728035036595283600e+02,1.233029502123430063e+02,1.201229109055514097e+09,4.260850698157868862e+09
9.246892750000000000e+06,4.991166666666666970e+03,1.145250000000000000e+03,2.391050833333332848e+05,5.033333333333334281e+01,0.000000000000000000e+00,5.540795833333334886e+05,1.530736666666666279e+05,2.770345266666667163e+07,2.236722000000000000e+06,2.103541666666666788e+04,1.356959025000000000e+07,1.158416666666666742e+03,2.758298333333332557e+05,7.948333333333334849e+02,2.621079166666666279e+05,1.936852000000000000e+06,8.190833333333334849e+02,4.244748833333333023e+06,2.462833333333333030e+03,1.972619916666666977e+06,5.155160000000000000e+05,2.078341666666666788e+04,3.092042500000000000e+05,1.083966666666666861e+05,6.035862500000000000e+05,1.105159166666666861e+05,1.608333333333333215e+01,5.484514666666666977e+06,0.000000000000000000e+00,4.003405000000000000e+05,1.782458333333333212e+04,1.194166666666666742e+03,0.000000000000000000e+00,3.351087333333333023e+06,2.282867500000000000e+06,6.007925000000000000e+04,1.427116666666666424e+04,4.672167500000000000e+05,9.933125000000000000e+04,0.000000000000000000e+00,3.983808333333333576e+04,1.377665000000000000e+05,1.955301666666666279e+05,1.283183550000000000e+07,1.252335533333333582e+07,1.514165083333333023e+06,1.847630833333333139e+05,1.167224708333333582e+07,2.316658266129032473e+00,5.544836764604335278e+07,9.448168682795698103e+00,0.000000000000000000e+00,9.243855006720430367e+01,1.688718077956989205e+01,1.617945929939516100e+04,2.411926151772513092e+08,1.448900051508191040e+17,2.147181402216481864e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.502691532258064626e+02,3.089307956266129017e+09,1.332909946236559153e+08,1.065184811827957034e+08,6.678939432123656843e+02,2.162389112903226192e+02,2.080508652553763511e+02,2.291330645161290480e+00,6.270831039986558608e+04,5.775850004200268449e+04,9.111882560483869042e+01,2.888251848118279952e+01,8.560166417469757795e+08,2.907301263380460739e+09
